ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10236,0,1,0,0,0,0,0,0,0,0,0,0
10236,1,1,0,0,0,0,0,0,0,0,0,0
10237,1,1,0,0,0,0,0,0,19,15,0,0
10237,2,1,0,0,0,0,0,0,0,0,0,0
10238,0,1,29,29,29,29,29,29,29,29,29,29
10238,1,1,2,2,2,2,2,2,2,2,2,2
10239,1,1,27,27,27,27,27,27,27,27,27,27
10239,2,1,0,0,0,0,0,0,0,0,0,0
10240,1,1,0,0,0,0,0,0,0,0,0,0
10241,1,1,0,0,0,0,0,0,0,0,0,0
10241,2,1,0,0,0,0,0,0,0,0,0,0
10242,1,1,15,15,15,15,15,15,15,15,15,15
10243,1,1,0,0,0,0,0,0,0,0,0,0
10244,1,1,0,0,0,0,0,0,0,0,0,0
10244,2,1,0,0,0,0,0,0,0,0,0,0
10245,1,1,0,0,0,0,0,0,0,0,0,0
10246,1,1,26,16,0,14,10,0,8,0,0,13
10247,1,1,0,0,0,0,0,0,0,0,0,0
10248,1,1,2,2,2,2,2,2,2,2,2,2
10248,2,1,0,0,0,0,0,0,0,0,0,0
10249,0,1,0,0,0,0,0,0,0,0,0,0
10249,1,1,0,0,0,0,0,0,0,0,0,0
10250,1,1,0,0,0,0,0,0,10,0,0,0
10250,2,1,0,0,0,0,14,0,0,0,0,0
10251,1,1,22,22,22,22,22,22,22,22,22,22
10252,1,1,21,21,21,21,21,21,21,21,21,21
10253,1,1,3,3,3,3,3,3,3,3,3,3
10254,1,1,30,30,30,30,30,30,30,30,30,30
10254,2,1,22,0,0,29,0,0,0,0,0,0
10255,1,1,24,24,24,24,24,24,24,24,24,24
10256,1,1,13,10,0,0,0,0,0,0,0,0
10257,0,1,0,0,0,0,0,0,0,0,0,0
10257,1,1,2,2,2,2,2,2,2,2,2,2
10258,1,1,0,0,0,0,30,0,0,0,0,0
10259,1,1,0,0,0,0,0,0,0,0,0,0
10259,2,1,0,0,0,0,0,0,0,0,0,0
10259,3,1,0,0,0,0,0,0,0,0,0,0
10260,1,1,0,0,0,0,0,0,0,0,0,0
10261,1,1,21,21,21,21,21,21,21,21,21,21
10261,2,1,0,0,0,0,0,0,0,0,0,0
10262,1,1,0,0,0,0,0,0,0,0,0,0
10263,0,1,27,0,0,0,0,15,0,0,0,18
10263,1,1,0,0,0,0,0,0,0,0,0,0
10264,0,1,17,0,0,0,0,21,0,0,0,31
10264,1,1,0,9,14,32,0,8,8,31,0,16
10265,0,1,0,0,0,0,0,0,0,0,0,0
10265,1,1,0,0,0,0,0,0,0,0,0,0
10266,1,1,0,0,0,0,50,10,0,0,0,22
10267,1,1,11,0,0,0,0,0,0,0,0,0
10268,1,1,14,14,14,14,14,14,14,14,14,14
10269,1,1,23,23,23,23,23,23,23,23,23,23
10270,1,1,3,13,0,14,0,15,20,0,8,15
10271,1,1,22,24,0,11,15,29,0,9,0,26
10271,2,1,0,0,0,0,0,0,0,0,0,0
10272,0,1,14,14,14,14,14,14,14,14,14,14
10272,1,1,0,0,0,0,0,0,0,0,0,0
10273,1,1,0,0,0,0,0,0,0,0,0,0
10273,2,1,0,0,0,15,0,0,0,12,0,0
10274,1,1,0,0,0,0,0,0,0,0,0,0
10274,2,1,0,0,0,0,0,0,0,0,0,0
10275,1,1,0,0,0,0,0,0,0,0,0,0
10276,1,1,9,0,25,28,0,42,37,30,0,0
10277,0,1,0,0,0,0,0,0,0,0,0,0
10277,1,1,1,1,1,1,1,1,1,1,1,1
10278,1,1,0,0,0,0,0,0,0,0,0,0
10279,0,1,0,0,0,0,0,0,0,0,0,0
10279,1,1,0,0,0,0,0,0,0,0,0,10
10280,1,1,0,0,0,0,0,0,0,0,0,0
10280,2,1,0,0,0,0,0,0,0,0,0,0
10281,1,1,0,0,0,0,0,0,0,0,0,0
10281,2,1,0,0,0,0,0,0,0,0,0,0
10282,1,1,13,13,16,20,6,0,12,17,25,24
10283,1,1,27,27,27,27,27,27,27,27,27,27
10284,1,1,22,0,0,0,0,0,0,23,0,0
10284,2,1,0,0,0,0,0,30,0,19,30,0
10285,1,1,0,0,0,0,0,0,0,0,0,0
10285,2,1,0,0,0,0,0,0,16,0,0,0
10285,3,1,0,15,0,0,0,0,0,0,0,0
10285,4,1,0,0,0,0,0,0,0,0,0,0
10286,1,1,0,0,0,0,0,0,0,0,0,0
10286,2,1,0,0,0,0,0,0,0,0,0,0
10287,0,1,8,8,8,8,8,8,8,8,8,8
10287,1,1,0,0,0,0,0,0,0,0,0,0
10288,0,1,0,0,0,0,0,0,0,0,0,0
10288,1,1,20,12,14,19,10,25,15,25,17,9
10289,1,1,15,15,15,15,15,15,15,15,15,15
10290,0,1,0,0,0,0,0,0,0,0,0,0
10290,1,1,0,0,0,0,0,0,0,0,0,0
10291,1,1,0,0,0,0,0,0,0,0,0,0
10292,1,1,28,28,28,28,28,28,28,28,28,28
10293,1,1,14,0,15,0,0,20,24,0,0,0
10294,1,1,25,0,14,0,23,22,13,15,11,18
10295,0,1,21,21,21,21,21,21,21,21,21,21
10295,1,1,0,0,0,0,11,26,0,0,0,0
10296,1,1,13,13,13,13,13,13,13,13,13,13
10297,0,1,44,44,44,44,44,44,44,44,44,44
10297,1,1,0,0,0,9,17,0,0,16,0,14
10298,1,1,3,3,3,3,3,3,3,3,3,3
10298,2,1,0,22,0,0,16,0,17,24,0,0
10299,1,1,0,0,0,0,0,0,0,0,0,0
10299,2,1,0,0,0,0,0,0,0,0,0,0
10299,3,1,0,0,0,0,0,0,0,0,11,0
10299,4,1,0,0,0,0,0,0,8,0,0,0
10300,1,1,0,39,0,0,0,0,0,0,0,0
10301,1,1,0,0,0,0,0,0,0,0,0,0
10302,1,1,0,0,0,0,0,0,0,0,0,0
10302,2,1,0,0,0,0,0,0,0,0,0,0
10303,1,1,0,0,0,0,0,0,0,0,0,0
10303,2,1,0,0,0,0,0,0,0,0,0,0
10304,1,1,0,0,26,0,0,0,10,0,0,0
10304,2,1,0,0,0,0,0,0,0,0,0,0
10304,3,1,0,0,0,0,0,0,0,0,0,0
10304,4,1,0,0,0,0,0,0,0,0,0,0
10305,1,1,16,16,16,16,16,16,16,16,16,16
10306,1,1,0,4,0,10,2,20,0,16,0,18
10307,1,1,11,15,18,23,10,12,25,10,20,11
10308,1,1,22,22,22,22,22,22,22,22,22,22
10308,2,1,0,0,32,0,0,0,0,0,0,0
10309,1,1,0,0,0,0,0,0,0,0,0,0
10309,2,1,0,0,0,0,0,0,6,0,0,0
10310,1,1,0,0,0,0,0,0,0,0,0,0
