ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
470979,56,33,24,0,13,25,17,23,5,23
470981,0,0,0,0,0,0,0,0,0,0
470982,0,0,0,0,0,0,0,0,0,0
470983,0,0,0,0,0,0,0,0,0,0
470985,0,0,0,0,0,0,0,0,0,0
470986,0,0,0,0,0,0,0,0,0,0
470987,0,9,0,0,0,0,0,0,0,0
470988,0,0,0,0,0,0,0,7,0,0
470989,17,17,17,17,17,17,17,17,17,17
470990,0,0,0,0,0,0,0,0,0,0
470991,0,0,0,0,0,0,0,0,0,0
470992,1,1,1,1,1,1,1,1,1,1
470993,0,0,0,0,0,0,0,0,0,0
470994,0,0,0,0,0,0,0,0,0,0
470995,22,22,22,22,22,22,22,22,22,22
470996,0,0,0,0,0,0,0,0,0,0
470997,0,24,0,0,0,0,0,0,0,0
470998,35,21,39,11,9,21,28,0,7,0
470999,0,0,0,0,0,0,0,0,27,0
471000,21,0,0,0,0,0,0,0,11,0
471001,21,0,13,18,13,20,0,0,24,17
471002,25,0,30,16,0,0,0,0,0,0
471003,25,25,25,25,25,25,25,25,25,25
471004,0,0,0,0,0,0,0,0,0,0
471005,0,0,0,0,22,0,0,0,0,0
471006,14,39,8,20,5,23,26,27,24,43
471007,0,0,0,0,0,0,0,0,0,0
471008,0,0,0,0,0,0,0,0,0,0
471009,0,0,0,0,0,0,0,0,31,0
471010,16,14,0,29,28,10,16,0,18,7
471011,14,14,14,14,14,14,14,14,14,14
471012,23,23,23,23,23,23,23,23,23,23
471013,18,18,18,18,18,18,18,18,18,18
471014,0,0,0,0,0,0,0,0,0,13
471015,3,3,3,3,3,3,3,3,3,3
471016,0,0,7,0,14,0,0,13,0,0
471017,12,12,12,12,12,12,12,12,12,12
471018,0,0,0,0,0,0,0,0,0,0
471019,3,3,3,3,3,3,3,3,3,3
471020,0,0,0,0,23,0,15,0,0,0
471021,0,0,0,0,0,0,0,0,0,17
471023,0,8,0,0,7,0,0,0,9,0
471024,21,21,21,21,21,21,36,21,21,21
471025,3,3,3,3,3,3,3,3,3,3
471026,0,0,0,0,0,0,0,0,0,0
471027,0,0,0,0,0,0,0,0,0,0
471028,1,1,1,1,1,1,1,1,1,1
471029,0,0,0,0,0,0,0,0,0,0
471030,0,0,0,0,0,0,0,0,19,0
471031,15,0,9,0,0,26,0,0,11,0
471032,0,12,20,15,14,28,11,14,14,13
471033,0,0,0,0,16,0,0,0,0,0
471034,25,0,0,0,0,0,0,0,0,36
471035,0,0,0,0,0,38,0,0,0,0
471036,0,0,0,0,0,0,0,0,0,0
471037,0,0,0,0,0,0,0,0,0,0
471038,0,0,0,0,0,0,0,14,0,0
471039,27,27,27,27,27,27,27,27,27,27
471040,0,0,0,0,0,0,0,0,0,0
471041,14,14,14,14,14,14,14,14,14,14
471042,26,26,26,26,26,26,26,26,26,26
471043,18,0,0,0,0,0,0,18,0,0
471044,23,23,23,23,23,23,23,23,23,23
471045,16,0,0,28,0,0,0,0,0,11
471046,0,0,0,0,0,0,12,0,16,0
471047,15,15,15,15,15,15,15,15,15,15
471048,26,26,26,26,26,26,26,26,26,26
471050,0,21,0,0,0,0,0,0,0,15
471051,0,0,0,0,0,0,0,0,0,0
471052,0,0,0,0,0,0,0,0,0,0
